,date,close
1006,25/02/2019,1724.58
1007,26/02/2019,1719
1008,27/02/2019,1713.45
1009,28/02/2019,1707.73
1010,01/03/2019,1700.76
1011,04/03/2019,1693.99
1012,05/03/2019,1685.62
1013,06/03/2019,1686.82
1014,07/03/2019,1686.95
1015,08/03/2019,1679.9
1016,11/03/2019,1664.63
1017,12/03/2019,1671.28
1018,13/03/2019,1678.24
1019,14/03/2019,1674.52
1020,15/03/2019,1680.54
1021,18/03/2019,1690.94
1022,19/03/2019,1687.68
1023,20/03/2019,1684.21
1024,21/03/2019,1663.66
1025,22/03/2019,1666.66
1026,25/03/2019,1649.15
1027,26/03/2019,1649.94
1028,27/03/2019,1642.73
1029,28/03/2019,1641.33
1030,29/03/2019,1643.63
1031,01/04/2019,1628.66
1032,02/04/2019,1632.83
1033,03/04/2019,1643.21
1034,04/04/2019,1645.07
1035,05/04/2019,1641.81
1036,08/04/2019,1644.35
1037,09/04/2019,1641.94
1038,10/04/2019,1639.46
1039,11/04/2019,1624.23
1040,12/04/2019,1630.17
1041,15/04/2019,1631.33
1042,16/04/2019,1629.46
1043,17/04/2019,1620.9
1044,18/04/2019,1619.73
1045,19/04/2019,1622.07
1046,22/04/2019,1622.06
1047,23/04/2019,1627.44
1048,24/04/2019,1638.01
1049,25/04/2019,1635.68
1050,26/04/2019,1638.38
1051,29/04/2019,1637.4
1052,30/04/2019,1642.29
1053,02/05/2019,1632.24
1054,03/05/2019,1637.3
1055,06/05/2019,1632.8
1056,07/05/2019,1639.37
1057,08/05/2019,1633.55
1058,09/05/2019,1618.53
1059,10/05/2019,1610.27
1060,13/05/2019,1601.09
1061,14/05/2019,1599.19
1062,15/05/2019,1611.43
1063,16/05/2019,1599.19
1064,17/05/2019,1605.36
1065,21/05/2019,1603.74
